2018-05-31 19:18:26,270 [Worker-6] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-06-14 23:10:37,954 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2018-09-15 12:37:19,387 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-09-16 11:35:26,940 [Worker-204] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: walletHubTest:walletHubTest:0.0.1-SNAPSHOT @ F:\deeksha working\selenium projects\walletHubTest\pom.xml.
2018-09-16 11:35:31,889 [Worker-208] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-16 11:35:31,920 [Worker-208] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\deeksha working\selenium projects\walletHubTest\src\main\resources
2018-09-16 11:35:31,923 [Worker-208] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-16 11:35:31,924 [Worker-208] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\deeksha working\selenium projects\walletHubTest\src\test\resources
2018-09-16 11:35:31,959 [Worker-204] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /walletHubTest/src
2018-09-16 11:35:31,960 [Worker-204] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /walletHubTest/src/test/java because it overlaps with /walletHubTest/src
2018-09-16 11:35:32,502 [Worker-204] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-09-16 11:35:33,310 [Worker-204] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: walletHubTest:walletHubTest:0.0.1-SNAPSHOT @ F:\deeksha working\selenium projects\walletHubTest\pom.xml.
2018-09-16 11:35:33,918 [Worker-204] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /walletHubTest/src
2018-09-16 11:35:33,919 [Worker-204] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /walletHubTest/src/test/java because it overlaps with /walletHubTest/src
2018-09-16 11:35:34,246 [Worker-204] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2018-09-16 11:35:34,569 [Worker-202] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-16 11:35:34,571 [Worker-202] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\deeksha working\selenium projects\walletHubTest\src\main\resources
